q,qid,did,time
0,1,"['13172737', '31715818', '4346436', '3531388', '17388232', '19855358', '6219790', '40212412', '21456232', '26104554']",591.7658630260266
1,3,"['13914198', '4414547', '14717500', '2739854', '667451', '23389795', '28712203', '1388704', '1153655', '5448119']",506.66980331588996
2,5,"['33339202', '28617573', '21550246', '11880289', '1583041', '13734012', '17333231', '695938', '18617259', '11349166']",651.6818352352129
3,13,"['7662395', '6323196', '1263446', '26611834', '11748341', '49429882', '17450673', '23557241', '8529693', '56893404']",490.27284958085517
4,36,"['16252863', '37424881', '22995164', '11705328', '42441846', '12130200', '3215494', '38811597', '21636085', '5152028']",478.9399570110254
5,42,"['45218443', '24144677', '10326242', '6415816', '39851630', '4449524', '42373943', '5782614', '18174210', '40913091']",487.29125998588273
6,48,"['11349166', '13734012', '29125354', '23203102', '27063470', '18617259', '30919024', '45276789', '3078080', '22815457']",750.54088266904
7,49,"['5409325', '18654430', '22362025', '1354567', '2613813', '7029990', '1333643', '5953485', '5702790', '23913146']",479.98573680385016
8,50,"['25738896', '12580014', '18488986', '8354687', '13989491', '39559521', '301838', '15405204', '3952288', '4561402']",496.36479048512416
9,51,"['7583725', '45638119', '19358586', '24249915', '34066665', '24834968', '8963413', '22482820', '7821634', '16691520']",482.5465801029932
10,53,"['19358586', '21439640', '16734530', '7583725', '37204802', '24349992', '34066665', '45638119', '24205118', '4889228']",479.83243514481
11,54,"['3973445', '3419709', '3504761', '9752604', '49556906', '32408470', '24721866', '38533515', '1590744', '23974474']",649.8439751779661
12,56,"['6054657', '10786948', '9675944', '35777860', '4405194', '11659421', '19970015', '4709641', '4303075', '10273147']",484.1275903179776
13,57,"['11659421', '13814480', '18852643', '36637129', '20937018', '4632921', '22116439', '37205759', '4709641', '35777860']",492.4905659208307
14,70,"['42489926', '5254463', '4414547', '9169645', '5956380', '7225911', '28107602', '27240699', '37204802', '21307488']",648.1336274688365
15,72,"['1031534', '778436', '15491404', '38300781', '1275505', '6076903', '14405193', '14492964', '6625693', '12640810']",514.880805274006
16,75,"['26488879', '37768883', '25657127', '13965483', '38805486', '29214508', '4387784', '8654183', '36233757', '2837758']",647.874706896022
17,94,"['3929361', '1215116', '13966946', '30741007', '15237660', '1946610', '1805641', '6503185', '16787954']",606.5251687269192
18,99,"['23208167', '9875570', '18810195', '8446259', '41024260', '11256632', '2754534', '9889151', '8331432', '16826810']",546.6661407881184
19,100,"['13116880', '14550841', '37249641', '14205246', '4381486', '10165258', '30714190', '16108876', '18909530', '10015292']",489.6342843329767
20,113,"['44030361', '8318922', '3825750', '1759213', '26199970', '6157837', '25816994', '14121786', '14584755', '43417006']",487.34120861801784
21,115,"['27438378', '9814332', '15482274', '1234098', '14834714', '28025754', '7548577', '25677651', '33872649', '39985001']",595.9446563639212
22,118,"['6372244', '4465735', '20148808', '52805891', '32454714', '34603465', '4695107', '31460499', '4303939']",650.8870087481337
23,124,"['7111021', '4883040', '14319754', '13901073', '31363207', '28806780', '13899137', '374902', '32012666', '57121667']",479.5034146080725
24,127,"['21598000', '35231675', '29788648', '7549811', '8411251', '20054396', '22029384', '11048759', '18126445', '293661']",683.0634239380015
