q,qid,did,time
0,1,"['21456232', '17388232', '719812', '44801733', '15657779', '7039855', '6190603', '12866641', '38143689', '24177706']",555.616556413006
1,3,"['13914198', '23389795', '14717500', '2739854', '4414547', '32181055', '4632921', '4378885', '13940200', '9650982']",392.84203895798413
2,5,"['18617259', '11349166', '21550246', '1583041', '23124332', '695938', '1292369', '17333231', '38899659', '12641252']",700.3372448380105
3,13,"['26611834', '17450673', '35714909', '23557241', '6323196', '8529693', '11748341', '76463821', '24594624', '56893404']",358.32265106902923
4,36,"['42441846', '3215494', '12130200', '21636085', '5152028', '11705328', '18557974', '16252863', '37424881', '33409100']",357.255976359942
5,42,"['18174210', '45218443', '40913091', '27162821', '25420421', '2842550', '29347970', '3952288', '25985964', '20127522']",365.83871789590927
6,48,"['13734012', '18617259', '27063470', '11349166', '23203102', '695938', '22309946', '7485455', '253672', '2605032']",717.6806354789296
7,49,"['5953485', '5702790', '23913146', '3154880', '2619579', '7029990', '22362025', '1333643', '1354567', '31148090']",691.8326068329625
8,50,"['12580014', '18488986', '25738896', '39559521', '15405204', '13989491', '4561402', '15707049', '8354687', '301838']",366.587316952995
9,51,"['45638119', '7583725', '7821634', '19358586', '24249915', '12762485', '1171121', '16734530', '22482820', '24349992']",355.3276020720368
10,53,"['45638119', '7583725', '15113221', '7821634', '19358586', '4889228', '16734530', '21439640', '12762485', '24349992']",356.62532164005097
11,54,"['49556906', '3973445', '24721866', '32408470', '3504761', '23974474', '9752604', '14874811', '38533515', '1590744']",352.03275018697605
12,56,"['4709641', '11659421', '36637129', '51386222', '18852643', '35777860', '13814480', '13293033']",363.29978556605056
13,57,"['4709641', '20937018', '18852643', '30351165', '11659421', '36637129', '23887844', '1122198', '1727042', '970012']",364.0215869330568
14,70,"['5956380', '4414547', '21307488', '42489926', '28107602', '11903247', '7225911', '36464673']",686.9877383338753
15,72,"['6076903', '1031534', '14492964', '35008773', '2682997', '6625693', '38380061', '1922901', '2147704', '26461066']",351.6163684580242
16,75,"['4387784', '13965483', '2837758', '29214508', '37768883', '36233757', '25657127', '26488879', '22703082']",690.4539086779114
17,94,"['1215116', '3929361', '4999387', '32390525', '18025240', '16787954', '30741007', '12991445', '10883736', '3552753']",401.3618656039471
18,99,"['18810195', '8446259', '9875570', '18358026', '23208167', '5760247', '41314611', '39637840', '8856690', '41022628']",506.5229839870008
19,100,"['4381486', '18909530', '18374364', '14550841', '30714190', '4421787', '13116880', '92499', '13980338', '11289247']",364.6955003228504
20,113,"['6157837', '1759213', '25816994', '14584755', '14121786', '44030361', '43417006', '140098548', '8318922', '3825750']",360.1766248230124
21,115,"['33872649', '25677651', '30122260', '4942718', '7046487', '11117679', '970012', '3613041', '25515907', '11578459']",411.06641448591836
22,118,"['6372244', '4465735', '52805891', '32454714', '15578265', '31460499', '21956124', '13714201', '4695107', '52893592']",352.2935005148174
23,124,"['4883040', '7111021', '31363207', '32012666', '13899137', '1986482', '13071728', '31562330', '44562058', '28806780']",692.0900380490348
24,127,"['21598000', '35231675', '7549811', '18126445', '34498093', '8093935', '3506723', '22029384', '4926049', '10486817']",375.88749150699005
