q,qid,did,time
0,1,"['21456232', '121581019', '4346436', '169264', '6219790', '21093407', '59453688', '121001457', '82665667', '109946221']",455.8837334442069
1,3,"['14717500', '23389795', '2739854', '4414547', '4378885', '11532028', '22890091', '22975806', '32181055', '13914198']",439.9125085339183
2,5,"['13734012', '18617259', '27063470', '11349166', '21550246', '21553394', '23124332', '695938', '751192', '1583041']",441.1915090280236
3,13,"['26611834', '33740844', '49429882', '7662395', '2425364', '8529693', '27123743', '17450673', '30786800', '6323196']",443.5355830108747
4,36,"['18557974', '18256197', '42441846', '3215494', '8595678', '21636085', '22023404', '37424881', '33409100', '12810152']",444.4230756681063
5,42,"['18174210', '6501747', '40913091', '6710713', '45218443', '27889071', '5107861', '4449524', '2460304', '39506601']",443.86800726020005
6,48,"['18617259', '27063470', '11349166', '18852643', '23203102', '13734012', '11181416', '24834968', '23124332', '24943534']",443.9564248068491
7,49,"['5953485', '5702790', '23913146', '1333643', '22362025', '5409325', '2619579', '950306', '8006440', '2613813']",444.24291733594146
8,50,"['12580014', '25738896', '18488986', '39559521', '38485364', '15405204', '13989491', '10162553', '29785642', '3952288']",446.45155370706925
9,51,"['45638119', '7821634', '7583725', '19358586', '1171121', '15721252', '3285322', '1866911', '8963413', '15113221']",443.09587219299283
10,53,"['45638119', '7821634', '7583725', '7795952', '4889228', '4429932', '24349992', '24249915', '24205118', '24341590']",440.82859354291577
11,54,"['49556906', '3973445', '3943235', '7005276', '3419709', '3504761', '9899292', '38533515', '9752604', '32408470']",446.1317782509723
12,56,"['4709641', '30351165', '4459491', '4303075', '8150638', '6826100', '10273147', '8290760', '6477740', '9675944']",442.4379068329581
13,57,"['4709641', '4459491', '51386222', '18852643', '20937018', '30351165', '14434123', '33986200', '35777860', '36637129']",442.1523178679636
14,70,"['5956380', '4414547', '4389394', '37204802', '5254463', '14367469', '5468807', '7225911', '7465900', '10247314']",444.1609524159576
15,72,"['6076903', '1031534', '38380061', '39763465', '16905344', '16826810', '14492964', '6325527', '16853734', '33387953']",440.43962741008727
16,75,"['4387784', '13965483', '29214508', '37768883', '36233757', '2837758', '38805486', '25657127', '20330519', '2099400']",441.95906612911494
17,94,"['1215116', '3761017', '1349033', '1103795', '4465735', '4695107', '4641348', '3419709', '1227277', '1196631']",439.53557038202416
18,99,"['18810195', '8446259', '8219248', '19313533', '8305686', '22036571', '9588931', '9194077', '9889151', '6788835']",443.73651390185114
19,100,"['4381486', '30714190', '4398832', '14205246', '12315072', '18909530', '18374364', '14550841', '13116880', '17271462']",438.8212777990848
20,113,"['6157837', '1759213', '25816994', '14584755', '14121786', '23377475', '6250701', '40790033', '3825750', '140098548']",442.75942324195057
21,115,"['33872649', '25677651', '1234098', '1103795', '1192458', '6493422', '1156322', '6580081', '997143', '4465735']",441.9997351480415
22,118,"['6372244', '4465735', '32454714', '20148808', '12658073', '41120293', '52805891', '4695107', '31460499', '6173523']",443.8858464671648
23,124,"['4883040', '7111021', '31363207', '32012666', '21479231', '13899137', '13901073', '13071728', '14319754', '13914633']",440.578944928071
24,127,"['21598000', '35231675', '7549811', '2727303', '18126445', '30884033', '30208015', '3765739', '7645565', '7878807']",440.47959437506506
