q,qid,did,time
0,1,"['21456232', '94109411', '19855358', '42035464', '4346436', '121581019', '34386619', '1156322', '25052749', '13777706']",680.0575955140084
1,3,"['14717500', '4414547', '23389795', '2739854', '11899391', '13914198', '25571386', '1388704', '19058822', '20280410']",596.9022378099871
2,5,"['13734012', '18617259', '11349166', '21550246', '1583041', '695938', '17333231', '1292369', '7116734', '8385277']",825.2913206470039
3,13,"['26611834', '33257464', '8529693', '6323196', '7662395', '23557241', '9513785', '11748341', '17450673', '56893404']",574.8303424780534
4,36,"['12130200', '18557974', '33409100', '42441846', '16252863', '3215494', '37424881', '11705328', '21636085', '5152028']",574.3006938530489
5,42,"['18174210', '40913091', '27889071', '6315132', '45218443', '8317408', '43711341', '44387884', '10530014', '2291922']",583.7342590170629
6,48,"['1831916', '13734012', '23203102', '18617259', '27063470', '11349166', '28738741', '19185192', '23388442', '43417006']",855.7392685059785
7,49,"['5953485', '5702790', '1333643', '22362025', '7029990', '23913146', '5409325', '3154880', '1354567', '4452659']",568.9128398890462
8,50,"['12580014', '18488986', '25738896', '39559521', '13989491', '3952288', '301838', '15405204', '2734421', '32906513']",584.3509785120623
9,51,"['45638119', '19358586', '7821634', '1171121', '21033230', '8963413', '24249915', '7583725', '12762485', '34066665']",575.5367009000147
10,53,"['45638119', '7583725', '19358586', '24249915', '21439640', '7821634', '4889228', '16734530', '25973484', '24349992']",571.423310339098
11,54,"['49556906', '3973445', '24721866', '3504761', '14874811', '7005276', '9752604', '3419709', '5108807', '9899292']",573.0448624260098
12,56,"['4709641', '35777860', '18852643', '30351165', '20937018', '11659421', '22116439', '33986200', '22185730', '37722384']",584.6887781780679
13,57,"['4709641', '20937018', '13814480', '11659421', '1122198', '33986200', '18852643', '37722384', '9194077', '41644178']",582.4327644420409
14,70,"['5956380', '4414547', '4389394', '37204802', '7225911', '11903247', '21557055', '39637840', '25682129', '27949347']",822.5118598300614
15,72,"['6076903', '1031534', '35008773', '2682997', '5573975', '21561474', '8997410', '36111909', '13907427', '13481880']",573.5976181160622
16,75,"['4387784', '37768883', '13965483', '29214508', '2837758', '38805486', '26488879', '7465900', '27840664']",826.0650955850651
17,94,"['1215116', '437924', '19205326', '13966946', '18025240', '3929361', '2264455', '21239672']",622.2382465340052
18,99,"['18810195', '2194320', '4662264', '9875570', '18473550', '5760247', '15659108', '24341590', '3504761', '8087082']",699.8735465960308
19,100,"['4381486', '14550841', '30714190', '4421787', '6472746', '92499', '10015292', '21793890', '11289247', '32170702']",578.9116824639168
20,113,"['6157837', '1759213', '25816994', '44030361', '14584755', '14121786', '140098548', '3825750', '31890716', '8318922']",582.4452278769386
21,115,"['33872649', '14174055', '980196', '15707049', '14290854', '21063817', '20690388', '118215171', '3308636', '41294031']",741.1741216060072
22,118,"['6372244', '4465735', '32454714', '4695107', '34603465', '21956124', '41120293', '15578265', '13714201', '52893592']",570.0468499629642
23,124,"['4883040', '7111021', '32012666', '31363207', '13899137', '14319754', '1986482', '57121667', '44562058', '9021186']",825.2144618059865
24,127,"['21598000', '35231675', '7549811', '30884033', '18126445', '42035464', '11048759', '293661', '24221369', '6386930']",862.9395028029976
