q,qid,did,time
0,1,"['21456232', '25052749', '4346436', '121581019', '1156322', '13777706', '19855358', '34386619', '42035464', '94109411']",673.8512744479958
1,3,"['4414547', '2739854', '1388704', '13914198', '11899391', '19058822', '20280410', '14717500', '25571386', '23389795']",590.4560104640223
2,5,"['7116734', '8385277', '17333231', '1292369', '13734012', '18617259', '695938', '11349166', '21550246', '1583041']",819.3495988150898
3,13,"['26611834', '33257464', '8529693', '11748341', '56893404', '6323196', '23557241', '7662395', '9513785', '17450673']",567.9490728390447
4,36,"['11705328', '16252863', '37424881', '42441846', '21636085', '18557974', '3215494', '33409100', '12130200', '5152028']",568.479985335016
5,42,"['40913091', '45218443', '2291922', '8317408', '18174210', '10530014', '27889071', '43711341', '6315132', '44387884']",577.2739843160562
6,48,"['18617259', '23203102', '43417006', '13734012', '28738741', '11349166', '23388442', '19185192', '27063470', '1831916']",851.1849070909993
7,49,"['1354567', '1333643', '5702790', '4452659', '22362025', '3154880', '5409325', '7029990', '23913146', '5953485']",563.9237373599171
8,50,"['3952288', '15405204', '32906513', '18488986', '12580014', '301838', '13989491', '25738896', '2734421', '39559521']",578.7679416850224
9,51,"['34066665', '24249915', '21033230', '1171121', '12762485', '8963413', '45638119', '19358586', '7821634', '7583725']",568.5444609079968
10,53,"['7583725', '16734530', '24249915', '4889228', '24349992', '45638119', '21439640', '25973484', '7821634', '19358586']",564.3297495550905
11,54,"['3973445', '24721866', '49556906', '9752604', '3504761', '7005276', '9899292', '14874811', '3419709', '5108807']",565.3168918920055
12,56,"['11659421', '20937018', '35777860', '37722384', '18852643', '33986200', '4709641', '30351165', '22185730', '22116439']",578.4619998909766
13,57,"['9194077', '11659421', '41644178', '18852643', '4709641', '37722384', '1122198', '20937018', '13814480', '33986200']",576.0190228909341
14,70,"['11903247', '25682129', '5956380', '4389394', '37204802', '7225911', '27949347', '21557055', '4414547', '39637840']",816.7743919379427
15,72,"['21561474', '2682997', '35008773', '8997410', '6076903', '13907427', '13481880', '36111909', '1031534', '5573975']",568.1625121920333
16,75,"['4387784', '38805486', '29214508', '37768883', '27840664', '13965483', '2837758', '26488879', '7465900']",823.3101928350443
17,94,"['18025240', '3929361', '13966946', '1215116', '2264455', '437924', '21239672', '19205326']",623.0663559180539
18,99,"['4662264', '2194320', '5760247', '15659108', '8087082', '9875570', '24341590', '18810195', '18473550', '3504761']",694.012416205016
19,100,"['21793890', '32170702', '10015292', '4421787', '6472746', '11289247', '14550841', '92499', '30714190', '4381486']",574.3397274629351
20,113,"['3825750', '31890716', '8318922', '1759213', '44030361', '6157837', '14121786', '25816994', '140098548', '14584755']",572.8777516489426
21,115,"['21063817', '20690388', '15707049', '14174055', '33872649', '14290854', '118215171', '980196', '41294031', '3308636']",734.8100585329412
22,118,"['21956124', '13714201', '6372244', '41120293', '32454714', '15578265', '52893592', '4695107', '34603465', '4465735']",565.0342737209867
23,124,"['7111021', '9021186', '1986482', '4883040', '32012666', '44562058', '13899137', '57121667', '31363207', '14319754']",817.0310190550408
24,127,"['42035464', '18126445', '24221369', '6386930', '35231675', '21598000', '7549811', '30884033', '11048759', '293661']",856.1048321210255
