q,qid,did,time
0,1,"['21456232', '121581019', '45166582', '44640124', '19855358', '4346436', '6061927', '7039855', '95764370', '6082738']",582.5959576318273
1,3,"['14717500', '23389795', '4414547', '2739854', '2679511', '2608447', '13914198', '4632921', '4378885', '32181055']",566.1381598921143
2,5,"['13734012', '18617259', '18467982', '27063470', '23124332', '21550246', '21641088', '17333231', '42240424', '11349166']",569.3715024028788
3,13,"['2958458', '33740844', '26611834', '2425364', '30786800', '27123743', '1958440', '32776084', '27129115', '27099731']",564.5363101911498
4,36,"['42441846', '37424881', '18557974', '11705328', '21636085', '18256197', '5152028', '3215494', '12810152', '12130200']",573.8831313968985
5,42,"['18174210', '17168045', '24042919', '23887844', '17271462', '23305884', '22973574', '17755060', '16790253', '21395936']",567.8201107920031
6,48,"['18617259', '11349166', '13734012', '27063470', '24512064', '23203102', '695938', '15879544', '14188138', '16233471']",567.7073835138581
7,49,"['5953485', '5702790', '23913146', '22362025', '5409325', '1333643', '15590539', '12652963', '12582729', '32324430']",573.3749454500503
8,50,"['12580014', '18488986', '25738896', '39559521', '15405204', '8354687', '301838', '3952288', '15707049', '13989491']",569.499859945965
9,51,"['45638119', '43385013', '7821634', '7583725', '8963413', '7795952', '4889228', '4820792', '15113221', '15721252']",569.3215678511187
10,53,"['45638119', '43385013', '4889228', '7795952', '7583725', '19358586', '8963413', '21439640', '7821634', '22401720']",573.8666216970887
11,54,"['49556906', '3973445', '24721866', '24707550', '3761017', '32408470', '26025820', '1590744', '23974474', '19313533']",573.2119716830784
12,56,"['4709641', '4459491', '30351165', '11659421', '11674288', '19970015', '14192687', '14434123', '15347087', '13814480']",570.0430520800292
13,57,"['4709641', '4459491', '20937018', '18852643', '30351165', '11659421', '22116439', '22185730', '36637129', '14192687']",569.1416297940887
14,70,"['5956380', '4414547', '37204802', '36464673', '39637840', '4389394', '5254463', '7225911', '23985464', '21307488']",569.5530838629929
15,72,"['6076903', '1031534', '35008773', '39763465', '38380061', '38477436', '46594244', '39291138', '46517055', '15955172']",567.8752801549272
16,75,"['4387784', '13965483', '2837758', '20330519', '29214508', '36233757', '37768883', '25657127', '38805486', '26488879']",570.4137417721795
17,94,"['1215116', '3929361', '1805641', '17327939', '3896759', '12409683', '3851329', '3863543', '3308636', '3825750']",568.2117791681085
18,99,"['18810195', '8446259', '18467982', '38300781', '38477436', '25515662', '30208015', '30379039', '26283293', '30224907']",567.9787304138881
19,100,"['4381486', '14550841', '4398832', '13116880', '18374364', '30714190', '18909530', '11289247', '32170702', '25041967']",562.9624808258377
20,113,"['6157837', '1759213', '25816994', '44030361', '40790033', '140098548', '43417006', '43557480', '14121786', '14584755']",567.4621897508623
21,115,"['33872649', '25677651', '25830701', '25725663', '3692112', '2841164', '3690068', '31844040', '28517384', '24596228']",570.5586485690437
22,118,"['6372244', '4465735', '52805891', '32454714', '2604063', '20148808', '4695107', '15578265', '33918970', '34603465']",567.3961156900041
23,124,"['4883040', '31363207', '7111021', '32012666', '21479231', '13899137', '1986482', '44562058', '13901073', '374902']",567.3370734209893
24,127,"['21598000', '35231675', '22029384', '18126445', '7549811', '20054396', '2727303', '4406819', '3154880', '493346']",564.6093563050381
