qid,Recall@10,NDCG@10,time
1,0.0,0.0,350.8878837599914
3,0.6,0.7065836017263629,331.9055713299458
5,0.7,0.793584067764911,354.593102962026
13,0.2,0.2863459897524692,337.2930276490806
36,0.9,0.933745776545611,336.4349322820635
42,0.6,0.7222954974312066,339.8333626969252
48,0.6,0.7151857987862356,332.0117053060385
49,0.5,0.6489315753318465,336.9771812960244
50,0.6,0.675416025555764,331.99378767001326
51,0.3,0.3843113526044082,335.05830646197137
53,0.1,0.22009176629808017,341.8806357050489
54,0.5,0.6046855387118412,332.7316958200681
56,0.5,0.605504765619221,334.76384998504363
57,0.3,0.43231813227099475,339.3722520900046
70,0.5,0.6025064803817581,370.1762876589492
72,0.3,0.4440973278132557,350.7611137229688
75,0.8,0.8701249883466593,351.7638869449584
94,0.3,0.41528076708874123,339.4385566509445
99,0.1,0.22009176629808017,341.40530106796365
100,0.4,0.5423640154200349,354.68267226498574
113,0.5,0.6325414799409712,354.7957994620374
115,0.1,0.22009176629808017,345.23115815600613
118,0.6,0.7116179486056782,355.6355850980472
124,0.6,0.727329844310522,355.0328181299701
127,0.4,0.5326208815196265,335.26146857699496
