qid,Recall@10,NDCG@10,time
1,0.2,0.20483424751859086,597.3400281689828
3,0.5,0.6300426811446146,511.7540520988404
5,0.6,0.7059054020403313,658.0810541601386
13,0.3,0.37185395737611554,496.99333433993166
36,0.7,0.7753366239771086,485.35512537008617
42,0.3,0.4537425745411855,492.9632371579064
48,0.6,0.576669299949219,756.3830054280115
49,0.6,0.727329844310522,485.586575557827
50,0.6,0.7065836017263629,501.9909916331527
51,0.2,0.30523488393970116,489.468164158985
53,0.1,0.22009176629808017,486.4055942178238
54,0.6,0.677273373952691,657.068283807952
56,0.2,0.33013764944712026,489.876040032017
57,0.4,0.49435723575344825,498.3146064947359
70,0.5,0.627507133061656,655.5482817839365
72,0.3,0.4440973278132557,521.1082218480296
75,0.8,0.8701249883466593,654.5821546431398
94,0.2,0.33013764944712026,608.0411829740042
99,0.1,0.22009176629808017,552.1604976861272
100,0.3,0.4537425745411855,495.0413502040319
113,0.6,0.7059054020403313,495.34745664394
115,0.1,0.22009176629808017,602.0993000408635
118,0.6,0.7222954974312066,653.1765174791217
124,0.6,0.7222954974312066,485.95090759405866
127,0.5,0.6168295842361274,689.2057677329285
