q,qid,did,time
0,1,"['24177706', '6190603', '38143689', '12866641', '44801733', '7039855', '15657779', '17388232', '21456232', '719812']",551.4734278799733
1,3,"['32181055', '14717500', '9650982', '13914198', '4632921', '4414547', '13940200', '2739854', '23389795', '4378885']",389.1108226060168
2,5,"['12641252', '1583041', '38899659', '21550246', '17333231', '1292369', '11349166', '18617259', '695938', '23124332']",696.4827078629751
3,13,"['24594624', '35714909', '17450673', '8529693', '23557241', '56893404', '76463821', '26611834', '11748341', '6323196']",352.20245551201515
4,36,"['12130200', '18557974', '16252863', '42441846', '37424881', '33409100', '11705328', '5152028', '3215494', '21636085']",352.0923105449183
5,42,"['40913091', '29347970', '18174210', '45218443', '27162821', '2842550', '25420421', '3952288', '25985964', '20127522']",359.77732125902554
6,48,"['695938', '253672', '18617259', '7485455', '13734012', '2605032', '27063470', '11349166', '22309946', '23203102']",713.4868352480698
7,49,"['5702790', '1333643', '2619579', '22362025', '1354567', '23913146', '7029990', '5953485', '3154880', '31148090']",687.7307128369575
8,50,"['25738896', '12580014', '8354687', '15707049', '15405204', '39559521', '4561402', '301838', '18488986', '13989491']",362.6441512098536
9,51,"['1171121', '45638119', '7821634', '12762485', '7583725', '24349992', '22482820', '16734530', '19358586', '24249915']",350.98845704004634
10,53,"['4889228', '7821634', '24349992', '45638119', '15113221', '19358586', '16734530', '7583725', '12762485', '21439640']",348.99226343398914
11,54,"['14874811', '32408470', '24721866', '9752604', '23974474', '38533515', '3504761', '3973445', '1590744', '49556906']",347.5588847009931
12,56,"['4709641', '11659421', '13814480', '35777860', '13293033', '36637129', '18852643', '51386222']",363.51880799990613
13,57,"['20937018', '1122198', '36637129', '18852643', '1727042', '30351165', '970012', '11659421', '23887844', '4709641']",359.43269881396554
14,70,"['5956380', '4414547', '7225911', '11903247', '21307488', '28107602', '42489926', '36464673']",686.929845343926
15,72,"['14492964', '1031534', '6625693', '35008773', '38380061', '2682997', '2147704', '6076903', '26461066', '1922901']",347.4129213929409
16,75,"['4387784', '13965483', '2837758', '36233757', '37768883', '29214508', '25657127', '22703082', '26488879']",688.6260315799154
17,94,"['10883736', '16787954', '3929361', '12991445', '1215116', '32390525', '18025240', '3552753', '4999387', '30741007']",396.7798445749795
18,99,"['41314611', '9875570', '18358026', '5760247', '8856690', '8446259', '41022628', '39637840', '18810195', '23208167']",502.4142099390738
19,100,"['18909530', '4421787', '18374364', '13980338', '14550841', '92499', '30714190', '4381486', '13116880', '11289247']",360.80735391099006
20,113,"['14584755', '1759213', '14121786', '6157837', '44030361', '43417006', '25816994', '140098548', '3825750', '8318922']",355.11013506597374
21,115,"['33872649', '4942718', '3613041', '11578459', '25677651', '30122260', '970012', '25515907', '7046487', '11117679']",406.6756630259333
22,118,"['15578265', '32454714', '31460499', '52805891', '6372244', '13714201', '4695107', '4465735', '52893592', '21956124']",348.202013329952
23,124,"['31562330', '4883040', '28806780', '1986482', '13071728', '44562058', '32012666', '13899137', '31363207', '7111021']",686.6843593310332
24,127,"['35231675', '8093935', '34498093', '4926049', '10486817', '21598000', '18126445', '22029384', '3506723', '7549811']",371.9048690920463
