q,qid,did,n_call,time,d_size,m_size,l_latency,c_count,i_der
0,1,"['8702697', '20279166', '21456232', '9272598', '19047331', '19855358', '30861948', '59453688', '2405259', '121581019']",430,519.2388974060304,"[0, 0, 0, 0, 0, 0, 10]","[5183, 5183, 2002, 668, 124, 13, 0]","[0.0, 5.006697028875351e-05, 331.59242602501763, 461.3318305629655, 505.3047053979826, 515.8120970940217, 519.2388527640142]","[0, 0, 275, 383, 420, 429, 430]","[[], [], [], [], [], [], ['8702697', '20279166', '21456232', '9272598', '19047331', '19855358', '30861948', '59453688', '2405259', '121581019']]"
1,3,"['32181055', '19058822', '14717500', '15153602', '13914198', '2739854', '1388704', '23389795', '17088791', '4414547']",308,372.5128938219859,"[0, 0, 0, 0, 7, 10]","[5183, 5183, 416, 47, 12, 0]","[0.0, 8.320959750562906e-06, 329.45702051598346, 359.01409010996576, 369.5489482039702, 372.5128600309836]","[0, 0, 275, 299, 307, 308]","[[], [], [], [], ['1388704', '32181055', '23389795', '14717500', '17088791', '2739854', '4414547'], ['32181055', '19058822', '14717500', '15153602', '13914198', '2739854', '1388704', '23389795', '17088791', '4414547']]"
2,5,"['15678772', '18617259', '23203102', '13734012', '17333231', '28738741', '27466734', '11349166', '21009874', '695938']",429,516.4852623029728,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 2790, 29, 12, 0]","[0.0, 8.450006134808064e-06, 329.5563364319969, 507.4303113860078, 513.268456351012, 516.4852170250379]","[0, 0, 275, 424, 428, 429]","[[], [], [], [], [], ['15678772', '18617259', '23203102', '13734012', '17333231', '28738741', '27466734', '11349166', '21009874', '695938']]"
3,13,"['9513785', '1958440', '8529693', '27123743', '7662395', '5487448', '17450673', '13944805', '11748341', '56893404']",284,342.960970125976,"[0, 0, 0, 0, 10]","[5183, 5183, 109, 14, 0]","[0.0, 7.950002327561378e-06, 328.5712182280258, 339.4360264420393, 342.960939378012]","[0, 0, 275, 283, 284]","[[], [], [], [], ['9513785', '1958440', '8529693', '27123743', '7662395', '5487448', '17450673', '13944805', '11748341', '56893404']]"
4,36,"['16252863', '12130200', '42441846', '37424881', '33409100', '12810152', '11705328', '18557974', '3215494', '21636085']",276,333.01508147700224,"[0, 0, 0, 10]","[5183, 5183, 16, 0]","[0.0, 8.202972821891308e-06, 329.1198223059764, 333.01505013898714]","[0, 0, 275, 276]","[[], [], [], ['16252863', '12130200', '42441846', '37424881', '33409100', '12810152', '11705328', '18557974', '3215494', '21636085']]"
5,42,"['40913091', '45218443', '6315132', '5132358', '21164071', '18174210', '76463821', '38830961', '27873158', '3514540']",362,434.38644235103857,"[0, 0, 0, 0, 0, 10]","[5183, 5183, 1508, 27, 17, 0]","[0.0, 6.678979843854904e-06, 328.2673967090086, 424.4390044079628, 430.2482797849807, 434.38640837499406]","[0, 0, 275, 357, 361, 362]","[[], [], [], [], [], ['40913091', '45218443', '6315132', '5132358', '21164071', '18174210', '76463821', '38830961', '27873158', '3514540']]"
6,48,"['18617259', '15879544', '219475', '13322804', '27063470', '5398179', '12827098', '17119869', '11349166', '18488986']",280,338.5508419510443,"[0, 0, 0, 0, 10]","[5183, 5183, 32, 18, 0]","[0.0, 7.683003786951303e-06, 328.2674747079727, 334.2383145199856, 338.5508119299775]","[0, 0, 275, 279, 280]","[[], [], [], [], ['18617259', '15879544', '219475', '13322804', '27063470', '5398179', '12827098', '17119869', '11349166', '18488986']]"
7,49,"['5702790', '1333643', '12871002', '23913146', '6913227', '7029990', '5409325', '5953485', '2613813', '22362025']",549,653.081383154029,"[0, 0, 7, 10]","[5183, 5183, 19, 0]","[0.0, 7.98999099060893e-06, 648.5327730340068, 653.0813504449907]","[0, 0, 548, 549]","[[], [], ['7029990', '5702790', '1333643', '5953485', '2613813', '12871002', '22362025'], ['5702790', '1333643', '12871002', '23913146', '6913227', '7029990', '5409325', '5953485', '2613813', '22362025']]"
8,50,"['4561402', '15405204', '29785642', '13989491', '25738896', '12580014', '39559521', '18488986', '3952288', '301838']",574,684.7453708570101,"[0, 0, 3, 3, 10]","[5183, 5183, 341, 34, 0]","[0.0, 9.31497197598219e-06, 649.3912827820168, 674.2441660179757, 684.7453224349883]","[0, 0, 548, 568, 574]","[[], [], ['12580014', '18488986', '25738896'], ['12580014', '18488986', '25738896'], ['4561402', '15405204', '29785642', '13989491', '25738896', '12580014', '39559521', '18488986', '3952288', '301838']]"
9,51,"['1171121', '24349992', '12762485', '7583725', '22401720', '34066665', '19358586', '8963413', '7821634', '45638119']",276,332.8554433879908,"[0, 0, 0, 10]","[5183, 5183, 19, 0]","[0.0, 1.3426004443317652e-05, 328.30341558001237, 332.8554062700132]","[0, 0, 275, 276]","[[], [], [], ['1171121', '24349992', '12762485', '7583725', '22401720', '34066665', '19358586', '8963413', '7821634', '45638119']]"
10,53,"['7795952', '12762485', '7583725', '2931832', '22401720', '19358586', '8963413', '16734530', '15721252', '45638119']",276,332.0661354449694,"[0, 0, 0, 10]","[5183, 5183, 14, 0]","[0.0, 1.1822034139186144e-05, 328.50517968600616, 332.0660980390385]","[0, 0, 275, 276]","[[], [], [], ['7795952', '12762485', '7583725', '2931832', '22401720', '19358586', '8963413', '16734530', '15721252', '45638119']]"
11,54,"['7005276', '38533515', '3973445', '3504761', '3419709', '1590744', '49556906', '14874811', '24721866', '26025820']",279,337.8254345220048,"[0, 0, 0, 0, 10]","[5183, 5183, 22, 15, 0]","[0.0, 7.359019946306944e-06, 328.3404430660303, 334.0326393810101, 337.8253996390267]","[0, 0, 275, 278, 279]","[[], [], [], [], ['7005276', '38533515', '3973445', '3504761', '3419709', '1590744', '49556906', '14874811', '24721866', '26025820']]"
12,56,"['9675944', '2853685', '4709641', '13814480', '35777860', '13293033', '11659421', '10786948', '33986200', '17702490']",282,340.74853839201387,"[0, 0, 0, 0, 10]","[5183, 5183, 72, 18, 0]","[0.0, 7.474969606846571e-06, 330.4806241139886, 336.38925312197534, 340.74849770299625]","[0, 0, 275, 281, 282]","[[], [], [], [], ['9675944', '2853685', '4709641', '13814480', '35777860', '13293033', '11659421', '10786948', '33986200', '17702490']]"
13,57,"['10641715', '4709641', '35777860', '11659421', '20937018', '30351165', '18852643', '3981613', '37722384', '3773719']",282,340.30041191598866,"[0, 0, 0, 0, 10]","[5183, 5183, 71, 18, 0]","[0.0, 9.490991942584515e-06, 330.16451261698967, 335.9292854759842, 340.3003752210061]","[0, 0, 275, 281, 282]","[[], [], [], [], ['10641715', '4709641', '35777860', '11659421', '20937018', '30351165', '18852643', '3981613', '37722384', '3773719']]"
14,70,"['21307488', '5956380', '25901598', '42489926', '27949347', '9669099', '5254463', '11903247', '27240699', '4414547']",276,333.7330339369946,"[0, 0, 0, 10]","[5183, 5183, 20, 0]","[0.0, 5.703011993318796e-06, 329.0000066870125, 333.73298801400233]","[0, 0, 275, 276]","[[], [], [], ['21307488', '5956380', '25901598', '42489926', '27949347', '9669099', '5254463', '11903247', '27240699', '4414547']]"
15,72,"['9752604', '24721866', '21164071', '6076903', '37964706', '19843244', '2682997', '22509015', '1031534', '23974474']",388,466.4146087099798,"[0, 0, 0, 0, 0, 8, 10]","[5183, 5183, 1814, 111, 33, 3, 0]","[0.0, 6.983987987041473e-06, 328.8995309359743, 444.52110510499915, 455.08704343496356, 465.5875348979607, 466.41457055299543]","[0, 0, 275, 373, 381, 387, 388]","[[], [], [], [], [], ['9752604', '21164071', '6076903', '37964706', '19843244', '2682997', '22509015', '1031534'], ['9752604', '24721866', '21164071', '6076903', '37964706', '19843244', '2682997', '22509015', '1031534', '23974474']]"
