q,qid,did,time
0,1,"['6190603', '15657779', '21456232', '7039855', '719812', '44801733', '17388232', '38143689', '12866641', '24177706']",550.419573519961
1,3,"['9650982', '23389795', '4378885', '14717500', '13940200', '4632921', '4414547', '32181055', '2739854', '13914198']",389.1184669620124
2,5,"['12641252', '1583041', '21550246', '23124332', '17333231', '1292369', '38899659', '11349166', '18617259', '695938']",696.4859014609829
3,13,"['23557241', '6323196', '26611834', '11748341', '56893404', '35714909', '8529693', '76463821', '24594624', '17450673']",352.2087233719649
4,36,"['3215494', '42441846', '11705328', '21636085', '33409100', '16252863', '12130200', '37424881', '5152028', '18557974']",352.1048978699837
5,42,"['18174210', '2842550', '45218443', '20127522', '29347970', '27162821', '25420421', '40913091', '25985964', '3952288']",359.79516496998264
6,48,"['13734012', '2605032', '22309946', '253672', '11349166', '23203102', '18617259', '27063470', '7485455', '695938']",713.4964136140188
7,49,"['1354567', '3154880', '31148090', '5953485', '22362025', '5702790', '1333643', '23913146', '2619579', '7029990']",687.7327408660203
8,50,"['13989491', '301838', '15405204', '18488986', '12580014', '4561402', '39559521', '15707049', '8354687', '25738896']",362.6470615679864
9,51,"['24249915', '16734530', '22482820', '1171121', '7821634', '12762485', '24349992', '7583725', '19358586', '45638119']",350.98509496997576
10,53,"['7583725', '16734530', '45638119', '12762485', '24349992', '15113221', '19358586', '4889228', '21439640', '7821634']",348.9910692939302
11,54,"['3973445', '9752604', '49556906', '14874811', '24721866', '1590744', '38533515', '3504761', '23974474', '32408470']",347.5641286979662
12,56,"['4709641', '13814480', '11659421', '13293033', '35777860', '36637129', '51386222', '18852643']",363.51166780199856
13,57,"['36637129', '23887844', '4709641', '11659421', '1122198', '30351165', '18852643', '20937018', '970012', '1727042']",359.4274521750631
14,70,"['5956380', '4414547', '7225911', '28107602', '21307488', '42489926', '11903247', '36464673']",686.9290033498546
15,72,"['26461066', '38380061', '6625693', '14492964', '35008773', '2147704', '1922901', '6076903', '1031534', '2682997']",347.41788878000807
16,75,"['4387784', '13965483', '36233757', '37768883', '29214508', '25657127', '2837758', '26488879', '22703082']",688.6333390999353
17,94,"['32390525', '3929361', '1215116', '18025240', '12991445', '16787954', '30741007', '10883736', '4999387', '3552753']",396.7842980569694
18,99,"['18810195', '18358026', '8856690', '8446259', '9875570', '23208167', '41022628', '5760247', '41314611', '39637840']",502.4150049349992
19,100,"['92499', '4381486', '11289247', '18909530', '30714190', '13116880', '13980338', '14550841', '4421787', '18374364']",360.80732118699234
20,113,"['3825750', '25816994', '8318922', '44030361', '6157837', '1759213', '14121786', '43417006', '140098548', '14584755']",355.10991749505047
21,115,"['3613041', '11117679', '7046487', '25515907', '30122260', '4942718', '970012', '33872649', '25677651', '11578459']",406.675912125851
22,118,"['13714201', '4695107', '31460499', '4465735', '52893592', '15578265', '21956124', '52805891', '6372244', '32454714']",348.20197362592444
23,124,"['28806780', '13899137', '1986482', '7111021', '44562058', '31363207', '32012666', '31562330', '13071728', '4883040']",686.6854757850524
24,127,"['21598000', '4926049', '34498093', '22029384', '10486817', '8093935', '18126445', '7549811', '35231675', '3506723']",371.91109927999787
