q,qid,did,time
0,1,"['21456232', '17388232', '719812', '6190603', '15657779', '24177706', '44801733', '7039855', '38143689', '12866641']",554.9986560989637
1,3,"['14717500', '2739854', '4414547', '23389795', '9650982', '13940200', '4632921', '4378885', '32181055', '13914198']",393.23416981904296
2,5,"['18617259', '11349166', '1583041', '21550246', '23124332', '695938', '1292369', '17333231', '12641252', '38899659']",700.4931618890259
3,13,"['26611834', '11748341', '8529693', '35714909', '6323196', '76463821', '56893404', '24594624', '17450673', '23557241']",357.34858833788894
4,36,"['18557974', '42441846', '33409100', '21636085', '37424881', '16252863', '12130200', '5152028', '3215494', '11705328']",357.6111694718711
5,42,"['3952288', '45218443', '18174210', '29347970', '27162821', '25420421', '2842550', '20127522', '25985964', '40913091']",364.7740244149464
6,48,"['13734012', '18617259', '27063470', '11349166', '23203102', '695938', '22309946', '2605032', '253672', '7485455']",718.6143644639524
7,49,"['5953485', '5702790', '23913146', '1333643', '2619579', '22362025', '3154880', '1354567', '31148090', '7029990']",692.0923474029405
8,50,"['12580014', '25738896', '18488986', '15405204', '39559521', '301838', '8354687', '13989491', '4561402', '15707049']",366.58374384290073
9,51,"['45638119', '7583725', '19358586', '7821634', '1171121', '12762485', '24249915', '16734530', '22482820', '24349992']",356.42208571510855
10,53,"['45638119', '7583725', '12762485', '21439640', '7821634', '19358586', '15113221', '4889228', '16734530', '24349992']",357.5107053500833
11,54,"['49556906', '3973445', '24721866', '32408470', '23974474', '9752604', '3504761', '1590744', '38533515', '14874811']",352.2298066460062
12,56,"['4709641', '35777860', '13814480', '11659421', '13293033', '36637129', '51386222', '18852643']",363.28320880397223
13,57,"['4709641', '11659421', '36637129', '970012', '1122198', '30351165', '20937018', '18852643', '23887844', '1727042']",364.1915151940193
14,70,"['5956380', '4414547', '7225911', '36464673', '11903247', '21307488', '28107602', '42489926']",686.9792772989022
15,72,"['6076903', '1031534', '14492964', '35008773', '6625693', '2682997', '1922901', '38380061', '2147704', '26461066']",351.9048484560335
16,75,"['4387784', '37768883', '36233757', '29214508', '25657127', '13965483', '2837758', '26488879', '22703082']",688.6988483020104
17,94,"['18025240', '1215116', '3929361', '30741007', '4999387', '32390525', '16787954', '10883736', '3552753', '12991445']",401.9550232969923
18,99,"['18810195', '8446259', '23208167', '5760247', '9875570', '41314611', '18358026', '39637840', '8856690', '41022628']",506.8278893700336
19,100,"['4381486', '18374364', '14550841', '30714190', '4421787', '13116880', '18909530', '11289247', '13980338', '92499']",364.96581159799825
20,113,"['6157837', '1759213', '25816994', '43417006', '44030361', '8318922', '14584755', '14121786', '3825750', '140098548']",360.61311599006876
21,115,"['33872649', '25677651', '4942718', '30122260', '7046487', '3613041', '25515907', '970012', '11117679', '11578459']",411.6123700339813
22,118,"['6372244', '4465735', '32454714', '52805891', '31460499', '4695107', '15578265', '21956124', '13714201', '52893592']",352.6869575789897
23,124,"['7111021', '4883040', '32012666', '31363207', '13899137', '1986482', '13071728', '28806780', '44562058', '31562330']",691.8064658229705
24,127,"['21598000', '35231675', '7549811', '18126445', '34498093', '10486817', '4926049', '3506723', '8093935', '22029384']",376.4809464480495
